256, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
512, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1024, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
2048, 3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,3,3,
4096, 14,14,14,14,14,14,14,14,13,13,13,14,14,14,14,14,14,13,14,15,14,13,13,14,14,14,14,13,14,16,15,13,14,13,14,14,14,14,14,14,14,15,13,13,14,13,13,13,14,14,15,14,14,13,13,13,13,13,13,13,14,13,13,13,15,14,14,13,13,13,14,13,13,13,14,13,13,13,14,14,14,14,13,13,13,13,13,13,13,13,14,13,14,14,13,13,13,13,13,13,
8192, 68,71,71,68,70,69,70,70,67,70,69,68,70,68,69,71,67,68,70,68,68,71,71,69,70,68,68,71,69,69,70,70,69,68,68,70,69,68,70,70,71,71,68,69,70,70,67,69,69,68,69,68,69,70,68,69,69,68,71,68,69,69,67,68,71,68,68,70,68,68,70,68,70,71,70,67,70,70,68,70,67,70,69,68,68,70,69,69,68,68,71,68,67,69,69,68,70,68,69,71,
16384, 323,320,320,324,319,321,330,321,317,327,328,327,332,329,331,330,327,332,354,342,331,327,320,324,327,331,323,324,326,319,328,333,322,325,322,318,323,321,324,318,320,319,325,323,321,317,324,326,323,321,321,317,320,318,319,321,319,322,321,321,316,320,323,320,322,326,322,319,318,324,321,325,320,321,320,317,320,322,322,318,316,319,330,321,333,317,315,318,320,318,318,321,316,320,320,318,319,316,317,317,
32768, 1384,1391,1405,1387,1390,1380,1380,1393,1384,1392,1408,1382,1378,1387,1385,1381,1381,1393,1378,1382,1373,1384,1379,1374,1413,1402,1375,1398,1384,1376,1381,1388,1381,1386,1369,1388,1375,1375,1382,1388,1382,1377,1386,1367,1387,1386,1386,1379,1386,1383,1381,1383,1387,1381,1385,1374,1372,1381,1384,1379,1379,1371,1392,1373,1390,1385,1404,1377,1385,1374,1370,1390,1382,1373,1386,1378,1385,1382,1383,1384,1368,1387,1384,1390,1387,1381,1389,1379,1387,1382,1373,1381,1387,1381,1388,1368,1377,1370,1379,1380,
65536, 5708,5679,5673,5659,5661,5669,5669,5686,5646,5689,5680,5679,5669,5682,5684,5683,5678,5681,5679,5678,5680,5680,5674,5697,5689,5713,5678,5690,5680,5706,5704,5663,5684,5683,5680,5711,5695,5687,5697,5670,5667,5667,5652,5663,5711,5676,5680,5658,5666,5676,5644,5710,5803,5840,5844,5858,5858,5820,5791,5809,5836,5888,5843,5827,5829,5871,5790,5909,5809,5794,5821,5809,5866,5811,5799,5804,5809,5835,5873,5845,5838,5827,5822,5789,5792,5846,5841,5881,5836,5876,5860,5870,5867,5805,5830,5835,5842,5770,5834,5859,
